"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
49881,b,11," -NH3",1,44933.55,1149.51917,1149.5179640858,1.0490608051403,8.6277757214371%,0.30517462333861%,2.5000000000053E-5
49881,b,21," ",2,73705.3,1160.05115,1160.0358838269,13.160086971362,14.152293728878%,0.50058335398736%,2.4999999999942E-5
49881,b,11," ",1,115652.81,1166.547,1166.5445131869,2.1317773074332,22.206714275502%,0.78547772721722%,2.4999999999942E-5
49881,y,10," ",1,273229.38,1175.63098,1175.6306531509,0.27802021857486,52.463288815313%,1.8556885250896%,2.4999999999942E-5
49881,y,21," ",2,111694.13,1197.57739,1197.5700891689,6.0963706193733,21.446600658996%,0.75859161031976%,2.599999999997E-5
49881,b,22," ",2,27253.97,1209.56152,1209.5700908269,-7.0858455776099,5.2330862057144%,0.18510044341548%,2.599999999997E-5
49881,y,22," ",2,26606.54,1247.08997,1247.1042961689,-11.48754674137,5.1087719497668%,0.1807033012714%,2.599999999997E-5
49881,y,11," ",1,69837.37,1289.67151,1289.6735831509,-1.6075004838529,13.40960519111%,0.47431358271734%,2.6999999999999E-5
49881,b,12," ",1,48129.54,1303.58972,1303.6034231869,-10.511775770908,9.2414437919091%,0.32688078820748%,2.6999999999999E-5
49881,y,12," -NH3",1,12950.26,1400.68994,1400.7056140498,-11.190109921524,2.4866038586824%,0.087954117082603%,2.8000000000028E-5
49881,y,13," ",1,95486.38,1474.75195,1474.7536271509,-1.1372414197959,18.334519998796%,0.64851363959596%,2.6999999999999E-5
50869,y,1," -NH3",1,43882.62,158.09248,158.09240204979,0.4930674085716,1.5239067260161%,0.11838456273904%,4.000000000004E-6
50869,y,1," ",1,752760.75,175.11909,175.11895115091,0.79288443705929,26.141036474256%,2.0307641666761%,6.0000000000615E-6
50869,b,2," -H2O",1,500437.72,212.06677,212.06658178285,0.88753800532637,17.378643468876%,1.3500584208583%,8.9999999999257E-6
50869,b,2," -NH3",1,339950.09,213.05031,213.05059736576,-1.3488146128015,11.805407896356%,0.91710209549359%,1.0000000000066E-5
50869,b,2," ",1,2879613.25,230.07709,230.07714646688,-0.24542584891576,100%,7.7684913858564%,1.0999999999983E-5
50869,y,2," ",1,404599.44,290.14594,290.14589115091,0.16836044380222,14.050478480053%,1.0915102103945%,1.2000000000012E-5
50869,y,4," ",2,88659.05,295.63644,295.63770380889,-4.2748569538662,3.0788526896798%,0.23918040598098%,1.3000000000041E-5
50869,y,5," ",2,18120.3,352.17966,352.17973380889,-0.2095773462114,0.62926158573552%,0.048884132082367%,1.4999999999987E-5
50869,b,3," -H2O",1,107844.19,359.13708,359.13499178285,5.8145744603166,3.7450928523127%,0.29093721562424%,1.6000000000016E-5
50869,b,3," -NH3",1,139173.19,360.11685,360.11900736576,-5.9907022812093,4.8330514523087%,0.37545518574661%,1.6999999999934E-5
50869,b,3," ",1,847143.88,377.14569,377.14555646688,0.35406255947084,29.41866863545%,2.2853867387785%,1.6999999999934E-5
50869,y,6," -H2O",2,18320.91,407.69672,407.69574646688,2.3878912876449,0.63622814626235%,0.049425328736784%,1.6999999999934E-5
50869,b,7," -NH3",2,50604.86,432.15662,432.15506391632,3.6007530882732,1.7573491856936%,0.13651952011002%,1.7999999999962E-5
50869,y,3," -H2O",1,11506.07,435.2012,435.19865646688,5.8445334863988,0.39956997697521%,0.031040559241787%,1.7999999999962E-5
50869,y,3," -NH3",1,13723.85,436.18326,436.18267204979,1.3479449064475,0.47658656939434%,0.037023586589548%,1.7999999999962E-5
50869,y,3," ",1,765452.56,453.20953,453.20922115091,0.68147133058345,26.581783508601%,2.0650035620727%,1.7999999999962E-5
50869,y,7," ",2,58119.79,460.21201,460.21704330889,-10.936815502956,2.0183193003435%,0.15679296098627%,2.000000000002E-5
50869,b,8," -H2O",2,47154.98,489.17291,489.17652612486,-7.3922698062139,1.6375455974861%,0.12721258868017%,2.1999999999966E-5
50869,b,4," -H2O",1,41340.72,545.21246,545.21430178285,-3.3780897585279,1.4356344554256%,0.11152713900212%,2.4000000000024E-5
50869,b,4," -NH3",1,124372.46,546.19757,546.19831736576,-1.3683047624828,4.3190681943139%,0.33552644062454%,2.2999999999995E-5
50869,b,4," ",1,177294.8,563.22473,563.22486646688,-0.24229555033814,6.1568962429243%,0.47829795426769%,2.4000000000024E-5
50869,y,4," -NH3",1,20976.96,573.24072,573.24158204979,-1.5038158708313,0.72846449084786%,0.056590701220539%,2.2999999999995E-5
50869,y,9," ",2,170100.78,588.75867,588.75875216889,-0.13956292569677,5.9070703331428%,0.45889024998668%,2.2999999999995E-5
50869,y,4," ",1,1108578.38,590.26855,590.26813115091,0.70959123308429,38.497474617468%,2.9906729994303%,2.2999999999995E-5
50869,y,10," -H2O",2,13053.44,608.25995,608.26420182688,-6.9900988192779,0.45330531799713%,0.035214984580236%,2.2999999999995E-5
50869,y,10," ",2,275274.56,617.27008,617.26948416889,0.96526901344149,9.5594281627923%,0.74262335336365%,2.4000000000024E-5
50869,b,11," -H2O",2,12471.99,630.23438,630.24293012486,-13.566395520522,0.43311337034583%,0.033646374866308%,2.5000000000053E-5
50869,b,5," -H2O",1,16308.23,674.25623,674.25689178285,-0.98149956959142,0.56633403808654%,0.043995610963925%,2.6999999999999E-5
50869,b,5," -NH3",1,102640.03,675.23938,675.24090736576,-2.2619567954602,3.5643685831769%,0.27689766634427%,2.6000000000082E-5
50869,y,11," -NH3",2,61006.88,688.77338,688.77153647833,2.6765357862472,2.1185789445857%,0.16458162281271%,2.599999999997E-5
50869,b,5," ",1,220045.45,692.26764,692.26745646688,0.26511880529508,7.6414931762104%,0.59362873914471%,2.7999999999917E-5
50869,y,11," ",2,137602.33,697.284,697.28481102889,-1.1631242804218,4.7785003767433%,0.37121739014042%,2.599999999997E-5
50869,y,5," ",1,419300.13,703.35321,703.35219115091,1.4485617642222,14.560987660409%,1.1311690720945%,2.6999999999999E-5
50869,y,12," -H2O",2,11776.39,736.8075,736.80591068688,2.1570309057852,0.40895734869952%,0.031769816405549%,2.6999999999999E-5
50869,y,12," -NH3",2,40543.54,737.30011,737.29791847833,2.9723692567674,1.4079508767367%,0.10937654257638%,2.8000000000028E-5
50869,y,12," ",2,578047.56,745.81213,745.81119302889,1.2563114025391,20.07379150655%,1.5594307640011%,2.6999999999999E-5
50869,y,13," -H2O",2,58360.75,765.31726,765.31664268688,0.80661139004659,2.0266870907057%,0.15744301205973%,2.9000000000057E-5
50869,y,13," -NH3",2,55794.75,765.81451,765.80865047833,7.6514174426799,1.9375779021714%,0.15052057242444%,2.7999999999917E-5
50869,y,13," ",2,576661.63,774.32422,774.32192502889,2.9638462140147,20.025662473945%,1.5556918642491%,2.8999999999946E-5
50869,b,6," -NH3",1,56799.86,806.27881,806.28138736576,-3.1966082801107,1.97248224219%,0.15323211307208%,3.1000000000003E-5
50869,b,6," ",1,46720.19,823.30511,823.30793646688,-3.4330616210792,1.6224466948817%,0.126039631732%,3.1999999999921E-5
50869,y,14," -H2O",2,226534.73,829.34625,829.34593268688,0.38260647162125,7.8668456606108%,0.61113522748317%,2.9999999999974E-5
50869,y,14," -NH3",2,658129.19,829.84106,829.83794047833,3.7591938303157,22.854777112864%,1.7754713912695%,2.9999999999974E-5
50869,y,6," ",1,171067.55,832.39288,832.39478115091,-2.283953422324,5.9406432443662%,0.46149835870305%,3.1000000000003E-5
50869,y,14," ",2,161212.83,838.35181,838.35121502889,0.70969194693734,5.5984195099811%,0.43491273737698%,3.1000000000003E-5
50869,b,7," ",1,13493.18,880.32007,880.32940046688,-10.598835929062,0.46857611868538%,0.036401295416254%,3.299999999995E-5
50869,y,16," -NH3",2,69199.04,915.86334,915.86214247833,1.3075348465999,2.4030671479929%,0.18668206438817%,3.1999999999921E-5
50869,y,7," ",1,258334.78,919.42828,919.42681015091,1.598658071152,8.9711623600843%,0.69692397515434%,3.2000000000032E-5
50869,y,16," ",2,378218.25,924.37531,924.37541702889,-0.11578509344123,13.134341912061%,1.0203402200274%,3.1999999999921E-5
50869,y,17," -H2O",2,20590.57,980.89038,980.89037468688,0.0054166308364198,0.71504636950813%,0.055548315620118%,3.299999999995E-5
50869,y,17," -NH3",2,66163.72,981.37994,981.38238247833,-2.4888141233641,2.2976599374933%,0.17849351432044%,3.3999999999978E-5
50869,y,17," ",2,410737.06,989.89722,989.89565702889,1.578925106759,14.263618907852%,1.1080680061678%,3.3000000000061E-5
50869,y,18," -H2O",2,187501.67,1045.41016,1045.4116696869,-1.4441075442001,6.5113490500851%,0.5058335900589%,3.5000000000007E-5
50869,y,18," -NH3",2,195732.25,1045.9137,1045.9036774783,9.5826431077086,6.7971714604383%,0.52803767938604%,3.5000000000007E-5
50869,y,18," ",2,209068.95,1054.42139,1054.4169520289,4.2089337597046,7.2603135160598%,0.56401683008128%,3.4999999999896E-5
50869,y,8," ",1,72788.15,1079.46082,1079.4574638709,3.1090887815826,2.5277057604871%,0.19636460426324%,3.5000000000007E-5
50869,y,19," -H2O",2,17281.1,1138.44763,1138.4513246869,-3.245362185388,0.60011878331231%,0.046620175986523%,3.5999999999925E-5
50869,y,19," -NH3",2,68380.76,1138.95618,1138.9433324783,11.280211490559,2.3746508320171%,0.18447454532942%,3.5999999999925E-5
50869,y,19," ",2,209392.09,1147.46301,1147.4566070289,5.5801422615064,7.2715351618833%,0.56488858267042%,3.6999999999954E-5
50869,y,9," ",1,457095.22,1176.51099,1176.5102278709,0.64778790104629,15.873493428328%,1.2331309696141%,3.6999999999954E-5
50869,y,10," -NH3",1,17708.64,1216.49963,1216.5051427698,-4.5316452805462,0.61496591599584%,0.04777357421009%,3.7000000000065E-5
50869,y,20," ",2,33219.54,1220.97705,1220.9908120289,-11.27119775057,1.1536111663606%,0.089618184085002%,3.7999999999982E-5
50869,y,10," ",1,482629.47,1233.53381,1233.5316918709,1.7171257982407,16.760218407802%,1.3020161232608%,3.7000000000065E-5
50869,y,11," ",1,83934.13,1393.56494,1393.5623455909,1.861710098007,2.9147709332147%,0.22643372886423%,3.9000000000011E-5
50869,y,12," ",1,182323.75,1490.61487,1490.6151095909,-0.16073291311956,6.3315360144283%,0.49186482987326%,3.9000000000011E-5
50869,y,13," ",1,150987.19,1547.6449,1547.6365735909,5.380080332264,5.2433148791769%,0.40732646472219%,4.000000000004E-5
51739,y,1," -NH3",1,33750.94,158.09242,158.09240204979,0.11354252810501,8.9632577483081%,0.2128509608761%,3.0000000000863E-6
51739,y,1," ",1,295430.75,175.11919,175.11895115091,1.3639248604178,78.45772470414%,1.8631397824726%,4.000000000004E-6
51739,b,2," ",1,229548.47,218.05956,218.05939418688,0.76040347449746,60.961327368653%,1.4476518996845%,6.9999999999792E-6
51739,y,2," -NH3",1,14892.16,271.17502,271.17646204979,-5.3177542699579,3.9549200261991%,0.093917697270671%,8.000000000008E-6
51739,y,2," ",1,207676.67,288.20306,288.20301115091,0.16949542201687,55.15282008502%,1.3097169667289%,8.000000000008E-6
51739,b,3," ",1,126432.31,331.14423,331.14345418688,2.3428309127929,33.576705781942%,0.79734782703192%,1.0999999999983E-5
51739,y,3," ",1,176287.89,401.2876,401.28707115091,1.3178822071777,46.81688261054%,1.1117630139285%,1.0999999999983E-5
51739,b,4," ",1,34143.67,430.21219,430.21186818688,0.74803403821395,9.0675552942577%,0.21532772027494%,1.299999999993E-5
51739,b,8," ",2,30696.91,452.22928,452.22890632688,0.8262919857722,8.1521971360387%,0.19359066116165%,1.299999999993E-5
51739,b,9," ",2,54888.2,501.76263,501.76311332688,-0.96325709508471,14.576692795539%,0.34615350300642%,1.400000000007E-5
51739,y,9," -H2O",2,33634.29,531.76404,531.76435596688,-0.59418589361562,8.9322789365671%,0.21211530537773%,1.4999999999987E-5
51739,y,9," -NH3",2,11530.64,532.26178,532.25636375833,10.17600170671,3.0621991068382%,0.072718205878603%,1.4999999999987E-5
51739,b,10," -H2O",2,26112.34,543.2879,543.28167098486,11.465535225417,6.9346700812319%,0.16467798110877%,1.4999999999987E-5
51739,b,10," -NH3",2,9888.68,543.7774,543.77367877632,6.8433317500791,2.6261427868539%,0.062363153138735%,1.4999999999987E-5
51739,y,4," ",1,281935.88,548.35614,548.35548115091,1.2014999642447,74.8738838366%,1.7780341218185%,1.3999999999958E-5
51739,b,10," ",2,54842.11,552.28925,552.28695332688,4.1584779563853,14.564452646091%,0.34586283552318%,1.4999999999987E-5
51739,b,11," -H2O",2,88279.07,571.79364,571.79240298486,2.1633990405035,23.444326534044%,0.55673367541018%,1.5999999999905E-5
51739,y,10," -H2O",2,13702.14,575.28436,575.28037046688,6.9349369902989,3.6388856880253%,0.086412812948582%,1.6000000000016E-5
51739,b,11," ",2,91764.86,580.79919,580.79768532688,2.5907009600347,24.3700499132%,0.57871687797912%,1.6000000000016E-5
51739,b,5," ",1,376547.69,586.31427,586.31297818688,2.2032824941446,100%,2.3747053454563%,1.6999999999934E-5
51739,y,11," -H2O",2,29665.12,603.78412,603.79110246688,-11.564375245764,7.8781840355998%,0.18708365741827%,1.6999999999934E-5
51739,y,11," -NH3",2,36226.96,604.28455,604.28311025833,2.3825614874043,9.6208158918728%,0.22846602926081%,1.8000000000074E-5
51739,b,12," -H2O",2,14993.78,607.30603,607.31095998486,-8.117727472172,3.9819073116608%,0.094558565781126%,1.7000000000045E-5
51739,b,12," ",2,123200.16,616.31702,616.31624232688,1.2618085774321,32.718341732491%,0.77696421006612%,1.8000000000074E-5
51739,b,13," -H2O",2,56433.24,650.82556,650.82697448486,-2.1733654556824,14.987010011932%,0.35589732787743%,1.8999999999991E-5
51739,b,13," ",2,52100.89,659.8316,659.83225682688,-0.99544523958146,13.836465176562%,0.32857527817003%,2.000000000002E-5
51739,y,12," -H2O",2,30156.98,660.82135,660.81256746688,13.29050558888,8.0088075961905%,0.19018558209405%,2.000000000002E-5
51739,y,5," ",1,225928.11,663.38434,663.38242115091,2.8925232710295,59.999866152412%,1.424820028788%,1.8999999999991E-5
51739,b,14," -H2O",2,42433.18,686.34277,686.34553148486,-4.0234615617109,11.26900552756%,0.26760567664274%,2.000000000002E-5
51739,b,14," -NH3",2,37772.57,686.84589,686.83753927632,12.1582225832,10.031284483514%,0.23821344884793%,2.000000000002E-5
51739,b,14," ",2,33157.8,695.34735,695.35081382688,-4.9814091104301,8.8057371962632%,0.2091103119065%,2.000000000002E-5
51739,y,13," -H2O",2,11908.45,696.3399,696.33112446688,12.602528901381,3.1625343392759%,0.075100872006675%,2.1000000000049E-5
51739,y,13," -NH3",2,15901.05,696.82648,696.82313225833,4.8042918081838,4.2228515596524%,0.10028028171775%,2.000000000002E-5
51739,b,15," -H2O",2,15227.62,743.36145,743.36699648486,-7.4613009324143,4.0440083432725%,0.096033282298392%,2.2000000000078E-5
51739,y,6," ",1,209164.75,778.4093,778.40936115091,-0.078558804878977,55.548010399426%,1.3191015722498%,2.1999999999966E-5
51739,b,16," ",2,59401.13,780.88342,780.88301082688,0.52398773616961,15.775194371794%,0.37461438400311%,2.1999999999966E-5
51739,b,17," -H2O",2,41013.84,815.38965,815.39374298486,-5.0196422270675,10.892070536935%,0.25865458127147%,2.4000000000024E-5
51739,y,7," -H2O",1,11097.49,861.45642,861.44647646688,11.542833353617,2.9471671968031%,0.069986536962019%,2.4000000000024E-5
51739,y,7," ",1,201060.42,879.45929,879.45704115091,2.5570880506203,53.395738531818%,1.267991457161%,2.3999999999913E-5
51739,b,8," ",1,162315.73,903.45258,903.45053618688,2.2622302374064,43.106287546207%,1.0236473145875%,2.5000000000053E-5
51739,y,8," -NH3",1,78053.29,976.48297,976.47342204979,9.7779929236738,20.728659894315%,0.49224459455176%,2.6000000000082E-5
51739,y,8," ",1,172251.5,993.50317,993.49997115091,3.2197777390275,45.74493605312%,1.086307441729%,2.599999999997E-5
51739,b,9," ",1,217312.73,1002.52271,1002.5189501869,3.7503661354728,57.711874424193%,1.3704869669143%,2.599999999997E-5
51739,y,21," -H2O",2,37403.54,1062.50854,1062.5032539669,4.9750747601286,9.9332809610384%,0.23588615396097%,2.6999999999999E-5
51739,y,9," -NH3",1,68710.48,1063.50549,1063.5054510498,0.036624364316673,18.247484136737%,0.43332398120639%,2.8000000000028E-5
51739,y,21," ",2,12431.75,1071.51624,1071.5085363089,7.1895751131219,3.3015074398677%,0.078401073655176%,2.6999999999999E-5
51739,y,9," ",1,283586.16,1080.5332,1080.5320001509,1.1104243936697,75.312149704065%,1.7884416448005%,2.6999999999999E-5
51739,b,10," -H2O",1,31125.12,1085.54712,1085.5560655028,-8.2404798178987,8.2659171272568%,0.19629117587196%,2.8000000000028E-5
51739,b,10," ",1,120122.63,1103.56848,1103.5666301869,1.6762133525955,31.901040210869%,0.75755570714368%,2.8999999999946E-5
51739,y,10," -H2O",1,47644.06,1149.54004,1149.5534644669,-11.677983924902,12.652862111569%,0.30046819291666%,2.9000000000057E-5
51739,y,10," -NH3",1,52097.86,1150.54871,1150.5374800498,9.760612240689,13.835660497612%,0.32855616941598%,2.9000000000057E-5
51739,b,11," ",1,61393.53,1160.5896,1160.5880941869,1.2974569778259,16.3043172566%,0.38717949343264%,2.9999999999974E-5
51739,y,10," ",1,141615.95,1167.56311,1167.5640291509,-0.78723811794159,37.609034329755%,0.89310374860319%,2.9999999999974E-5
51739,y,11," -H2O",1,68212.25,1206.58582,1206.5749284669,9.026818694947,18.115168891356%,0.43018188400147%,2.9999999999974E-5
51739,y,11," -NH3",1,68423.13,1207.57092,1207.5589440498,9.9174870676849,18.171172421746%,0.43151180283127%,2.9999999999974E-5
51739,b,24," ",2,37359.36,1220.56604,1220.5635198269,2.0647619562755,9.9215480514566%,0.23560753192996%,3.1000000000003E-5
51739,y,11," ",1,215503.19,1224.58557,1224.5854931509,0.062755186576364,57.231313781264%,1.3590750676385%,3.1000000000003E-5
51739,b,12," ",1,146710.22,1231.62854,1231.6252081869,2.7052167323098,38.961922724848%,0.92523086163952%,3.1000000000003E-5
51739,b,13," -H2O",1,16541.16,1300.63428,1300.6466725028,-9.5279549094993,4.3928459632829%,0.10431714790774%,3.1000000000003E-5
51739,b,13," ",1,54964.01,1318.65894,1318.6572371869,1.2913235321775,14.596825703538%,0.34663160024887%,3.2000000000032E-5
51739,y,12," -H2O",1,43025.82,1320.62903,1320.6178584669,8.4593230734521,11.4263932943%,0.27134317235259%,3.2000000000032E-5
51739,y,12," -NH3",1,81266.29,1321.59814,1321.6018740498,-2.8253968626334,21.581938266571%,0.51250744166935%,3.2000000000032E-5
51739,y,25," ",2,52557.82,1335.6571,1335.6506551689,4.8252371089464,13.95781235572%,0.33145691612005%,3.1999999999921E-5
51739,y,12," ",1,155016.2,1338.62793,1338.6284231509,-0.36840014754473,41.167746906109%,0.97761268638329%,3.2000000000032E-5
51739,b,14," ",1,49770.52,1389.6781,1389.6943511869,-11.694072775631,13.21758739245%,0.31387875434886%,3.3000000000061E-5
51739,y,13," -NH3",1,45094.58,1392.6366,1392.6389880498,-1.714765857534,11.975795150941%,0.28438984761029%,3.3000000000061E-5
51739,y,13," ",1,44369.09,1409.65552,1409.6655371509,-7.1060479558137,11.783126328567%,0.27981453078634%,3.3000000000061E-5
51739,y,14," -NH3",1,12890.76,1479.67688,1479.6710170498,3.962333615944,3.4234070058961%,0.081295829165741%,3.3999999999978E-5
51739,y,14," ",1,16398.56,1496.70642,1496.6975661509,5.9155899572333,4.3549755941937%,0.10341783822863%,3.6000000000036E-5
51739,b,15," ",1,15649.56,1503.71667,1503.7372811869,-13.70664087182,4.1560632067614%,0.098694255131506%,3.3999999999978E-5
51739,y,16," -NH3",1,17049.32,1607.74512,1607.7295950498,9.6564436327668,4.5277983248284%,0.10752186885118%,3.3999999999978E-5
58299,y,1," -NH3",1,119585.86,130.0865,130.08625204979,1.9060446981299,13.566872532375%,0.25757727127571%,2.0000000000575E-6
58299,y,1," ",1,186796.89,147.11299,147.11280115091,1.2837026384633,21.191883355391%,0.40234383236437%,2.9999999999752E-6
58299,b,2," ",1,52697.45,201.12376,201.12336546688,1.9616473704813,5.9784625618046%,0.11350560487827%,6.9999999999792E-6
58299,y,2," ",1,267281.03,284.17163,284.17171115091,-0.28556997677839,30.322712604416%,0.57569948797593%,9.0000000000368E-6
58299,b,3," -H2O",1,267295.88,320.17215,320.17171078285,1.3718174849565,30.324397319123%,0.5757314735508%,1.0999999999983E-5
58299,b,3," ",1,362808.09,338.18246,338.18227546688,0.54566171690319,41.160143103411%,0.78145625092258%,1.0999999999983E-5
58299,y,6," ",2,12337.8,386.68942,386.68653080889,7.4716621237817,1.3997086271733%,0.026574520244663%,1.3000000000041E-5
58299,y,3," ",1,252317.34,415.21368,415.21219115091,3.5857547605571,28.625099903015%,0.54346903499081%,1.3999999999958E-5
58299,b,4," -H2O",1,24520.73,435.19833,435.19865078285,-0.73709522844256,2.7818474384077%,0.052815464329047%,1.6999999999934E-5
58299,y,7," ",2,61702.42,436.21802,436.22073780889,-6.2303523386524,7.000065618787%,0.13290150670579%,1.400000000007E-5
58299,b,8," -NH3",2,11925.1,439.20401,439.20614541632,-4.8619909835543,1.3528883066596%,0.025685601271672%,1.4999999999987E-5
